name,country,year,month,year,host,subtype,accHA,accMP,accNA,accNP,accNS,accPA,accPB1,accPB2
>A/Finland/214/2012,Finland,2012,,,Human,pH1N1,KM437690,KM437691,KM437692,KM437693,KM437694,KM437695,KM437696,KM437697
>A/Finland/215/2012,Finland,2012,,,Human,pH1N1,KM437698,KM437699,KM437700,KM437701,KM437702,KM437703,KM437704,KM437705
>A/Finland/30/2014,Finland,2014,1,22,Human,pH1N1,KM437714,KM437715,KM437716,KM437717,KM437718,KM437719,KM437720,KM437721
>A/Finland/31/2012,Finland,2012,12,12,Human,pH1N1,KM437722,KM437723,KM437724,KM437725,KM437726,KM437727,KM437728,KM437729
>A/Finland/37/2014,Finland,2014,1,24,Human,pH1N1,KM437730,KM437731,KM437732,KM437733,KM437734,KM437735,KM437736,KM437737
>A/Finland/43/2014,Finland,2014,1,27,Human,pH1N1,KM437738,KM437739,KM437740,KM437741,KM437742,KM437743,KM437744,KM437745
>A/Finland/44/2014,Finland,2014,1,28,Human,pH1N1,KM437746,KM437747,KM437748,KM437749,KM437750,KM437751,KM437752,KM437753
>A/Finland/61/2014,Finland,2014,2,5,Human,pH1N1,KM437754,KM437755,KM437756,KM437757,KM437758,KM437759,KM437760,KM437761
>A/Finland/68/2014,Finland,2014,2,6,Human,pH1N1,KM437762,KM437763,KM437764,KM437765,KM437766,KM437767,KM437768,KM437769
>A/Finland/75/2014,Finland,2014,2,10,Human,pH1N1,KM437802,KM437803,KM437804,KM437805,KM437806,KM437807,KM437808,KM437809
>A/Finland/76/2014,Finland,2014,2,10,Human,pH1N1,KM437810,KM437811,KM437812,KM437813,KM437814,KM437815,KM437816,KM437817
>A/Finland/80/2014,Finland,2014,2,11,Human,pH1N1,KM437834,KM437835,KM437836,KM437837,KM437838,KM437839,KM437840,KM437841
>A/Finland/87/2014,Finland,2014,2,14,Human,pH1N1,KM437850,KM437851,KM437852,KM437853,KM437854,KM437855,KM437856,KM437857
>A/Florida/01/2014,USA,2014,1,3,Human,pH1N1,KT274588,KT274604,KT274599,KT274592,KT274600,KT274601,KT274596,KT274589
>A/Florida/06/2012,USA,2012,2,27,Human,pH1N1,JX905426,JX905425,JX905423,JX905430,JX905424,JX905429,JX905427,JX905428
>A/FuZhou/SWL11609/2013,China,2013,12,4,Human,pH1N1,KP019912,KT180314,KP019806,KT180313,KT180315,KT180312,KT180311,KT180310
>A/Gainesville/05/2014,USA,2014,1,15,Human,pH1N1,KJ645769,KJ645772,KJ645771,KJ645770,KJ645773,KJ645768,KJ645767,KJ645766
>A/Gainesville/08/2013,USA,2013,12,4,Human,pH1N1,KJ645761,KJ645764,KJ645763,KJ645762,KJ645765,KJ645760,KJ645759,KJ645758
>A/Georgia/F32551/2012,USA,2012,2,1,Human,pH1N1,CY148259,CY148260,CY148261,CY148262,CY148263,CY148264,CY148265,CY148266
>A/Georgia/M5081/2012,USA,2012,2,1,Human,pH1N1,CY147971,CY147972,CY147973,CY147974,CY147975,CY147976,CY147977,CY147978
>A/Georgia/NHRC0001/2011,USA,2011,1,27,Human,pH1N1,CY092904,CY092905,CY092906,CY092907,CY092908,CY092909,CY092910,CY092911
>A/Georgia/T51700/2012,USA,2012,2,1,Human,pH1N1,CY148251,CY148252,CY148253,CY148254,CY148255,CY148256,CY148257,CY148258
>A/Gunma/13G001/2014,Japan,2014,1,21,Human,pH1N1,LC032905,LC032908,LC032907,LC032906,LC032909,LC032904,LC032903,LC032902
>A/Gunma/13G018/2014,Japan,2014,2,26,Human,pH1N1,LC032913,LC032916,LC032915,LC032914,LC032917,LC032912,LC032911,LC032910
>A/Gunma/13G024/2014,Japan,2014,3,8,Human,pH1N1,LC032921,LC032924,LC032923,LC032922,LC032925,LC032920,LC032919,LC032918
>A/Hamburg/INS535/2011,Germany,2011,1,13,Human,pH1N1,CY129598,CY129599,CY129600,CY129601,CY129602,CY129603,CY129604,CY129605
>A/Headington/INS3_650/2011,UnitedKingdom,2011,1,5,Human,pH1N1,CY176546,CY176547,CY176548,CY176549,CY176550,CY176551,CY176552,CY176553
>A/Headington/INS3_651/2011,UnitedKingdom,2011,1,12,Human,pH1N1,CY176554,CY176555,CY176556,CY176557,CY176558,CY176559,CY176560,CY176561
>A/Headington/INS590/2011,UnitedKingdom,2011,1,5,Human,pH1N1,CY129830,CY129831,CY129832,CY129833,CY129834,CY129835,CY129836,CY129837
>A/Headington/INS593/2011,UnitedKingdom,2011,1,10,Human,pH1N1,CY129838,CY129839,CY129840,CY129841,CY129842,CY129843,CY129844,CY129845
>A/Headington/INS595/2011,UnitedKingdom,2011,1,22,Human,pH1N1,CY129846,CY129847,CY129848,CY129849,CY129850,CY129851,CY129852,CY129853
>A/Helsinki/100/2013,Finland,2013,1,14,Human,pH1N1,KF559390,KF559391,KF559392,KF559393,KF559394,KF559395,KF559396,KF559397
>A/Helsinki/1009/2013,Finland,2013,3,4,Human,pH1N1,KF560238,KF560239,KF560240,KF560241,KF560242,KF560243,KF560244,KF560245
>A/Helsinki/1011/2013,Finland,2013,3,2,Human,pH1N1,KF560246,KF560247,KF560248,KF560249,KF560250,KF560251,KF560252,KF560253
>A/Helsinki/1016/2013,Finland,2013,3,4,Human,pH1N1,KF560254,KF560255,KF560256,KF560257,KF560258,KF560259,KF560260,KF560261
>A/Helsinki/1017/2013,Finland,2013,3,4,Human,pH1N1,KF560262,KF560263,KF560264,KF560265,KF560266,KF560267,KF560268,KF560269
>A/Helsinki/1018/2013,Finland,2013,3,3,Human,pH1N1,KF560270,KF560271,KF560272,KF560273,KF560274,KF560275,KF560276,KF560277
>A/Helsinki/1042/2013,Finland,2013,3,11,Human,pH1N1,KM366351,KM366352,KM366353,KM366354,KM366355,KM366356,KM366357,KM366358
>A/Helsinki/1053/2013,Finland,2013,3,11,Human,pH1N1,KM366359,KM366360,KM366361,KM366362,KM366363,KM366364,KM366365,KM366366
>A/Helsinki/1076/2013,Finland,2013,3,11,Human,pH1N1,KM366367,KM366368,KM366369,KM366370,KM366371,KM366372,KM366373,KM366374
>A/Helsinki/1127/2014,Finland,2014,2,28,Human,pH1N1,KM366375,KM366376,KM366377,KM366378,KM366379,KM366380,KM366381,KM366382
>A/Helsinki/1151/2014,Finland,2014,2,28,Human,pH1N1,KM366383,KM366384,KM366385,KM366386,KM366387,KM366388,KM366389,KM366390
>A/Helsinki/1197/2013,Finland,2013,3,11,Human,pH1N1,KM366391,KM366392,KM366393,KM366394,KM366395,KM366396,KM366397,KM366398
>A/Helsinki/1198/2013,Finland,2013,3,11,Human,pH1N1,KM366399,KM366400,KM366401,KM366402,KM366403,KM366404,KM366405,KM366406
>A/Helsinki/1199/2012,Finland,2012,3,16,Human,pH1N1,KF560278,KF560279,KF560280,KF560281,KF560282,KF560283,KF560284,KF560285
>A/Helsinki/11IH2213/2011,Finland,2011,4,15,Human,pH1N1,KF560302,KF560303,KF560304,KF560305,KF560306,KF560307,KF560308,KF560309
>A/Helsinki/1215/2013,Finland,2013,3,11,Human,pH1N1,KM366407,KM366408,KM366409,KM366410,KM366411,KM366412,KM366413,KM366414
>A/Helsinki/1229/2013,Finland,2013,3,11,Human,pH1N1,KM366415,KM366416,KM366417,KM366418,KM366419,KM366420,KM366421,KM366422
>A/Helsinki/1260/2013,Finland,2013,3,13,Human,pH1N1,KM366423,KM366424,KM366425,KM366426,KM366427,KM366428,KM366429,KM366430
>A/Helsinki/1289/2013,Finland,2013,3,13,Human,pH1N1,KM366431,KM366432,KM366433,KM366434,KM366435,KM366436,KM366437,KM366438
>A/Helsinki/1302/2013,Finland,2013,3,13,Human,pH1N1,KM366439,KM366440,KM366441,KM366442,KM366443,KM366444,KM366445,KM366446
>A/Helsinki/1333/2013,Finland,2013,3,18,Human,pH1N1,KM366447,KM366448,KM366449,KM366450,KM366451,KM366452,KM366453,KM366454
>A/Helsinki/1338/2014,Finland,2014,3,8,Human,pH1N1,KM366455,KM366456,KM366457,KM366458,KM366459,KM366460,KM366461,KM366462
>A/Helsinki/135/2013,Finland,2013,1,16,Human,pH1N1,KF559398,KF559399,KF559400,KF559401,KF559402,KF559403,KF559404,KF559405
>A/Helsinki/1351/2013,Finland,2013,3,19,Human,pH1N1,KM366463,KM366464,KM366465,KM366466,KM366467,KM366468,KM366469,KM366470
>A/Helsinki/13IH28/2013,Finland,2013,1,3,Human,pH1N1,KF559358,KF559359,KF559360,KF559361,KF559362,KF559363,KF559364,KF559365
>A/Helsinki/141/2013,Finland,2013,1,17,Human,pH1N1,KF559406,KF559407,KF559408,KF559409,KF559410,KF559411,KF559412,KF559413
>A/Helsinki/1454/2014,Finland,2014,3,13,Human,pH1N1,KM366471,KM366472,KM366473,KM366474,KM366475,KM366476,KM366477,KM366478
>A/Helsinki/147/2013,Finland,2013,1,16,Human,pH1N1,KF559414,KF559415,KF559416,KF559417,KF559418,KF559419,KF559420,KF559421
>A/Helsinki/1472/2013,Finland,2013,3,23,Human,pH1N1,KM366479,KM366480,KM366481,KM366482,KM366483,KM366484,KM366485,KM366486
>A/Helsinki/1474/2013,Finland,2013,3,23,Human,pH1N1,KM366487,KM366488,KM366489,KM366490,KM366491,KM366492,KM366493,KM366494
>A/Helsinki/1492/2013,Finland,2013,3,23,Human,pH1N1,KM366495,KM366496,KM366497,KM366498,KM366499,KM366500,KM366501,KM366502
>A/Helsinki/1496/2013,Finland,2013,3,26,Human,pH1N1,KM366503,KM366504,KM366505,KM366506,KM366507,KM366508,KM366509,KM366510
